country_code,country_name,year,debt_to_gdp,electricity_access,exports_to_gdp,fdi_pct_gdp,gdp_growth,imports_to_gdp,industry_value_added,inflation,real_interest_rate,unemployment,debt_to_gdp_score,inflation_score,imports_to_gdp_score,unemployment_score,gdp_growth_score,electricity_access_score,fdi_pct_gdp_score,debt_sustainability,macro_stability,external_vulnerability,growth_capacity,development_capacity,sovereign_risk_score,risk_band,fx_change,fx_volatility,inflation_change,fx_pressure_score,fx_volatility_score,inflation_pressure_score,debt_pressure_score,market_risk_score,composite_risk_score,composite_risk_band
EGY,Egypt,2010,,99.4,21.3492458146859,,5.1472348575531,26.5871042599039,35.7845184816841,11.2651882653185,0.818721618124323,8.757,,30.278041539024265,22.537216056784303,20.682289376138723,43.592668195201576,0.6644518272425182,,,30.27804153902426,22.537216056784303,32.955706600636674,0.6644518272425182,25.659641815795595,Low Risk,,,,,,,,,,Unknown
EGY,Egypt,2011,,99.4,20.5674276128656,,1.7645719489982,24.6882065494858,35.9517175990081,10.0649259874818,-0.563878053386473,11.849,,27.16034051864363,16.92759380270937,30.395174970157697,60.16133622941155,0.6644518272425182,,,27.16034051864363,16.92759380270937,46.341332787615116,0.6644518272425182,29.356163107260976,Low Risk,,,-1.2002622778366998,,,42.791995878515685,,,,Unknown
EGY,Egypt,2012,,99.7,16.3969666208873,,2.22619979863525,24.3148026512211,39.2513148623634,7.11172943343083,-6.26271950249128,12.597,,19.489363866320677,15.82450393853613,32.74486398190614,57.900230466659096,0.33222591362126463,,,19.489363866320677,15.82450393853613,46.22095317016665,0.33222591362126463,27.032522717015954,Low Risk,,,-2.9531965540509697,,,38.33206415217665,,,,Unknown
EGY,Egypt,2013,,99.9,17.0178456245969,,2.18546605362143,23.3551924317351,39.8869544184046,9.46971981064921,3.29215715258359,13.154,,25.614282678525207,12.98967465155935,34.49456555883646,58.09974898717655,0.11074197120708451,,,25.614282678525207,12.98967465155935,47.14019953830436,0.11074197120708451,28.49950280612881,Low Risk,,,2.3579903772183792,,,51.84513844178566,,,,Unknown
EGY,Egypt,2014,,99.8,14.2441314553991,,2.91591187985748,22.6760563380282,39.890323943662,10.0702154687481,0.414129139027758,13.105,,27.17408003328617,10.983407055415412,34.340642080794126,54.5219421707564,0.22148394241418012,,,27.17408003328617,10.983407055415412,45.15205284327391,0.22148394241418012,27.755980063234528,Low Risk,,1.1194445532046677,0.6004956580988896,,0.0,47.373603733934345,,,,Unknown
EGY,Egypt,2015,,99.3,13.1838454928598,,4.37201907790141,21.6620974671631,36.6302017267482,10.370490343517,1.54106846018941,13.052,,27.95404896236805,7.988023883633518,34.174153420870766,47.389763340404,0.7751937984496138,,,27.95404896236805,7.988023883633518,41.25394444919213,0.7751937984496138,25.910169860119165,Low Risk,-8.329758329758342,4.930651204148961,0.3002748747689008,68.55704531442981,9.071957974505345,46.60976209158169,,,,Unknown
EGY,Egypt,2016,,100.0,10.3454639403558,,4.34664345555447,19.9010851110947,32.4559533476046,13.813606214829,6.92201135491608,12.45,,36.897599104280175,2.785735183139413,32.28309354777911,47.51405602761343,0.0,,,36.897599104280175,2.785735183139413,40.442537733404635,0.0,26.911421508971262,Low Risk,-56.664846735824035,37.9561003807716,3.443115871312001,0.0,87.68367191692572,54.6059867427381,,,,Unknown
EGY,Egypt,2017,,100.0,15.0140868185672,,4.18122099994778,27.8180475395935,34.3958677753768,29.5066083940039,-8.75819408094445,11.767,,77.66043053728279,26.173602986615496,30.13758874159704,48.324314048127206,0.0,,,77.66043053728279,26.173602986615496,39.88047729866677,0.0,41.59741690989921,Moderate Risk,1.2778977681785486,10.956943783926395,15.6930021791749,82.18425768110997,23.41656797151738,85.77296050200172,,,,Unknown
EGY,Egypt,2018,,100.0,17.984655608418,,5.3311086189448,27.9263640649779,35.3298750589345,14.4014657807422,-2.35870301315836,9.855,,38.42457400162628,26.49358588403371,24.131431802475344,42.692033578315645,0.0,,,38.42457400162628,26.49358588403371,34.07461132524693,0.0,28.87727176094988,Low Risk,-0.49760085303003354,3.3044726115589245,-15.105142613261702,79.66594348237915,5.2011041473160375,7.414276473746987,,,,Unknown
EGY,Egypt,2019,,100.0,16.6440314510365,,5.55209307156956,24.4799857040743,35.8254244102931,9.15279959324804,2.19909578279478,7.851,,24.791077198009965,16.312478895900902,17.83627568009047,41.60962657080645,0.0,,,24.791077198009962,16.312478895900902,30.571999371545456,0.0,22.029487039974455,Low Risk,11.627076263618497,3.1537960257779005,-5.248666187494159,96.86322326235346,4.8424430252252915,32.49177796235391,,,,Unknown
